step,population,unique_species,reactions_success,reactions_diverged,movements,deaths_age,cosmic_spawns
0,3000,1831,0,0,0,0,0
100,1639,293,47413,1367,219186,0,6
200,1576,290,85350,1440,418187,0,16
300,1562,272,122317,1463,614291,0,25
400,1561,282,158482,1467,810450,0,28
500,1572,287,194578,1467,1007648,0,39
600,1581,306,231645,1467,1205078,0,48
700,1592,312,268956,1467,1403198,0,59
800,1599,355,306517,1467,1602972,0,66
900,1610,378,345023,1467,1801743,0,77
1000,1614,303,383016,1467,2003448,0,81
1100,1622,384,421320,1467,2205059,0,89
1200,1635,370,460065,1467,2407949,0,102
1300,1636,387,499283,1467,2611234,0,103
1400,1641,348,538798,1467,2814644,0,108
1500,1647,350,578820,1467,3018202,0,114
1600,1653,349,618264,1467,3223847,0,120
1700,1662,341,658662,1467,3429288,0,129
1800,1666,280,698683,1467,3635822,0,133
1900,1674,320,739217,1468,3842235,0,142
2000,1685,307,780175,1468,4049066,0,153
